id,slug,title,url,sector_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw,country_clean
327,recycling-cost-benefit-analysis,Reports Database:Recycling: Cost Benefit Analysis,https://socialvalueuk.org/reports/recycling-cost-benefit-analysis/,environment,2007.0,Unknown,government,0,,"Costs 

6.4",0,1,1,1,5000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,37.5,0,2023.0,New Zealand
328,assessing-the-costs-and-benefits-of-adaptation-options-an-overview-of-approaches,Reports Database:Assessing the Costs and Benefits of Adaptation Options: An Overview of Approaches,https://socialvalueuk.org/reports/assessing-the-costs-and-benefits-of-adaptation-options-an-overview-of-approaches/,agriculture_food,2009.0,Unknown,government,0,,,1,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,37.5,0,2023.0,Australia
329,standing-council-on-environment-and-water-cost-benefit-analysis-report,Reports Database:Standing Council on Environment and Water: Cost benefit analysis report,https://socialvalueuk.org/reports/standing-council-on-environment-and-water-cost-benefit-analysis-report/,arts_culture,2011.0,Unknown,government,1,,,3,1,1,1,5000,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,8.0,50.0,0,2023.0,Australia
330,stakeholder-focused-cost-benefit-analysis-in-the-water-sector,Reports Database:Stakeholder-focused cost-benefit analysis in the water sector,https://socialvalueuk.org/reports/stakeholder-focused-cost-benefit-analysis-in-the-water-sector/,environment,2012.0,Unknown,private,0,,"costs  

35",43,1,1,1,5000,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,43.8,0,2023.0,Bangladesh
331,assessing-the-social-costs-and-benefits-of-regulating-carbon-emissions,Reports Database:Assessing the Social Costs and Benefits of Regulating Carbon Emissions,https://socialvalueuk.org/reports/assessing-the-social-costs-and-benefits-of-regulating-carbon-emissions/,environment,2015.0,Unknown,government,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,25.0,0,2023.0,USA
332,a-social-cost-benefit-analysis-of-an-electric-vehicle,Reports Database:A Social Cost-Benefit Analysis of an Electric Vehicle,https://socialvalueuk.org/reports/a-social-cost-benefit-analysis-of-an-electric-vehicle/,housing,2011.0,Unknown,government,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,25.0,0,2023.0,Ireland
333,a-social-cost-benefit-analysis-early-intervention-programs-to-assist-children-with-hearing-loss-develop-spoken-language,Reports Database:A social cost-benefit analysis: Early intervention programs to assist children with,https://socialvalueuk.org/reports/a-social-cost-benefit-analysis-early-intervention-programs-to-assist-children-with-hearing-loss-develop-spoken-language/,education,2006.0,Unknown,charity,0,,,0,1,1,1,5000,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,31.2,0,2023.0,Australia
334,the-economics-of-early-response-and-disaster-resilience-lessons-from-kenya-and-ethiopia,Reports Database:The Economics of Early Response and Disaster Resilience: Lessons from Kenya and Eth,https://socialvalueuk.org/reports/the-economics-of-early-response-and-disaster-resilience-lessons-from-kenya-and-ethiopia/,agriculture_food,2012.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,37.5,0,2023.0,UK
335,uttar-pradesh-drought-cost-benefit-analysis,Reports Database:Uttar Pradesh Drought Cost-Benefit Analysis,https://socialvalueuk.org/reports/uttar-pradesh-drought-cost-benefit-analysis/,agriculture_food,2008.0,Unknown,private,0,,"costs

1",0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,18.8,0,2023.0,Nepal
336,impact-assessment-a-report-on-the-woodcraft-folk-in-sctoland,Reports Database:Impact Assessment. A report on the Woodcraft Folk in Sctoland.,https://socialvalueuk.org/reports/impact-assessment-a-report-on-the-woodcraft-folk-in-sctoland/,youth,,Unknown,unknown,0,,,1,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,31.2,0,2023.0,UK
337,managing-uncertainty-an-economic-evaluation-of-community-based-adaptation-in-dakoro-niger,Reports Database:Managing uncertainty: An economic evaluation of community-based adaptation in Dakor,https://socialvalueuk.org/reports/managing-uncertainty-an-economic-evaluation-of-community-based-adaptation-in-dakoro-niger/,environment,2014.0,Unknown,social_enterprise,0,,,0,1,1,1,5000,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,8.0,50.0,0,2023.0,Australia
338,forgotten-families-the-impact-of-isolation-on-families-with-disabled-children-across-the-uk,Reports Database:Forgotten Families: The impact of isolation on families with disabled children acro,https://socialvalueuk.org/reports/forgotten-families-the-impact-of-isolation-on-families-with-disabled-children-across-the-uk/,disability,2011.0,Unknown,charity,0,,,0,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,0,2023.0,UK
339,greasy-palms-the-social-and-ecological-impacts-of-large-scale-oil-palm-plantation-development-in-southeast-asia,Reports Database:Greasy Palms: the social and ecological impacts of large-scale oil palm plantation ,https://socialvalueuk.org/reports/greasy-palms-the-social-and-ecological-impacts-of-large-scale-oil-palm-plantation-development-in-southeast-asia/,environment,1997.0,Unknown,unknown,0,,,3,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.8,0,2023.0,UK
